Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Electric-Only Range,Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity
13532,57,490,29,Tonale eAWD,2024,"","",77,29,29,29,SI,1.3L,4,"1.3L I4;
89 kW electric motor",Alfa Romeo,"",SUV,PHEV,Plug-in Hybrid Electric,33,360,Blended,"",AWD,"","","","","",304,51.0,15.0,""
13597,57,355,27,Flying Spur Hybrid,2024,"","",46,17,22,19,SI,2.9L,6,"2.9L V6;
103 kW electric motor",Bentley Motors,http://www.bentleymotors.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,21,430,Blended,"",AWD,"","","","","",374,48.0,17.0,""
13598,57,211,27,330e Sedan,2024,"","",73,24,32,26,SI,2.0L,4,2.0L I4; 80 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,22,310,Blended,"",RWD,3.7,"",3,8,"",354,34.0,12.0,5
13599,57,211,27,330e xDrive,2024,"","",68,22,32,26,SI,2.0L,4,2.0L I4; 80 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,20,300,Blended,"",AWD,3.7,"",3,8,"",354,34.0,12.0,5
13600,57,211,29,XM,2024,"","",46,12,17,14,SI,4.4L,8,4.4L V8; 145 kW electric motor,BMW,https://www.bmwusa.com,SUV,PHEV,Plug-in Hybrid Electric,31,300,Blended,"",AWD,7.4,"",2,11,"",317,93.0,29.0,5
13530,57,223,9,Pacifica Hybrid,2024,"","",82,29,30,30,SI,3.6L,6,"3.6L V6;
89 kW electric motor",Chrysler,http://www.chrysler.com,Van,PHEV,Plug-in Hybrid Electric,32,550,Blended,"",FWD,6.6,"",3,16,"",360,47.0,16.0,7
13531,57,225,29,Hornet PHEV AWD,2024,"","",77,29,29,29,SI,1.3L,4,"1.3L I4;
89 kW electric motor",Dodge,http://www.dodge.com,SUV,PHEV,Plug-in Hybrid Electric,33,360,Blended,"",AWD,"","","","","",304,51.0,15.0,""
13601,57,409,27,SF90 Spider,2024,"","",44,16,19,17,SI,3.9L,8,"3.9L V8; 99, 99, and 150 kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,8,330,Blended,"",AWD,"","","","","",309,21.0,6.0,""
13602,57,409,27,SF90 Stradale ,2024,"","",51,16,20,18,SI,3.9L,8,"3.9L V8; 99, 99, and 150 kW electric motors",Ferrari,http://www.ferrari.com/en_us/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,9,340,Blended,"",AWD,"","","","","",309,21.0,6.0,""
13603,57,351,29,Tucson Plug-in Hybrid,2024,"","",80,35,35,35,SI,1.6L,4,"1.6L I4;
67 kW electric motor",Hyundai,http://www.hyundaiusa.com/,SUV,PHEV,Plug-in Hybrid Electric,33,420,Blended,"",AWD,7.2,"",4,20,"",360,38.0,13.0,5
13534,57,275,29,Grand Cherokee 4xe,2024,"","",56,23,24,23,SI,2.0L,4,"2.0L I4;
100 kW electric motor",Jeep,https://www.jeep.com,SUV,PHEV,Plug-in Hybrid Electric,26,470,Blended,"",4WD,7.7,"",2,13,"",345,50.0,17.0,5
13533,57,275,29,Wrangler 4dr 4xe,2024,"","",49,20,20,20,SI,2.0L,4,"2.0L I4;
100 kW electric motor",Jeep,https://www.jeep.com,SUV,PHEV,Plug-in Hybrid Electric,22,370,Blended,"",4WD,7.7,"",2,11,"",355,50.0,17.0,5
13604,57,361,29,Sorento Plug-in Hybrid,2024,"","",79,35,33,34,SI,1.6L,4,"1.6L I4;
67 kW electric motor",Kia,http://www.kia.com,SUV,PHEV,Plug-in Hybrid Electric,32,460,Blended,"",AWD,7.2,"",4,22,"",360,38.0,13.0,6
13605,57,361,29,Sportage Plug-in Hybrid,2024,"","",84,36,35,35,SI,1.6L,4,"1.6L I4;
67 kW electric motor",Kia,http://www.kia.com,SUV,PHEV,Plug-in Hybrid Electric,34,430,Blended,"",AWD,7.2,"",4,22,"",360,38.0,13.0,5
13606,57,243,29,NX 450h+ AWD,2024,"","",84,38,33,36,SI,2.5L,4,"2.5L I4;
40 and 134 kW electric motors",Lexus,"",SUV,PHEV,Plug-in Hybrid Electric,37,550,Blended,"",AWD,3.3-6.6,"",3,16,"",355,51.0,18.0,5
13607,57,263,29,Outlander PHEV,2024,"","",64,25,27,26,SI,2.4L,4,"2.4L I4;
85 and 100 kW electric motors",Mitsubishi,http://www.mitsubishicars.com/MMNA/jsp/find.do?loc=en-us,SUV,PHEV,Plug-in Hybrid Electric,38,420,Blended,"",AWD,3.7,22,3,8,33,350,56.0,19.0,7
13608,57,221,27,Prius Prime/SE,2024,"","",114,"","",48-52,SI,2.0L,4,"2.0L I4;
120 kW electric motor",Toyota,http://www.toyota.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,40-45,550-600,Blended,Includes standard and SE models,FWD,3.5,"",5,13,"",266,51.0,13.0,5
13609,57,221,29,RAV4 Prime AWD,2024,"","",94,40,36,38,SI,2.5L,4,"2.5L I4;
40 and 134 kW electric motors",Toyota,http://www.toyota.com,SUV,PHEV,Plug-in Hybrid Electric,42,600,Blended,"",AWD,3.3-6.6,"",3,9,"",355,51.0,18.0,5
13610,57,395,27,S60 T8 AWD Recharge,2024,"","",74,30,33,31,SI,2.0L,4,"2.0L I4;
34 kW electric motors (x2)",Volvo,"",Sedan/Wagon,PHEV,Plug-in Hybrid Electric,40,530,Blended,"",AWD,3.6,"",2,7,"",369,51.0,18.0,5
13611,57,395,29,XC60 T8 AWD Recharge,2024,"","",63,28,28,28,SI,2.0L,4,"2.0L I4;
34 kW electric motors (x2)",Volvo,"",SUV,PHEV,Plug-in Hybrid Electric,35,560,Blended,"",AWD,3.6,"",2,6,"",369,51.0,18.0,5
13612,57,395,29,XC90 T8 AWD Recharge,2024,"","",58,26,27,27,SI,2.0L,4,"2.0L I4;

34 and 107 kW electric motors",Volvo,"",SUV,PHEV,Plug-in Hybrid Electric,32,530,Blended,"",AWD,3.6,"",2,6,"",369,51.0,18.0,7
13466,57,377,29,Q5 TFSI e,2023,"","",60,25,27,26,SI,2.0L,4,2.0L I4; 105 kW electric motor,Audi,http://progress.audiusa.com/,SUV,PHEV,Plug-in Hybrid Electric,22,400,Blended,"",AWD,7.4,"",2,24,"",374,48.0,17.0,5
13467,57,355,29,Bentayga Hybrid,2023,"","",47,18,24,20,SI,3.0L,6,3.0L V6; 103 kW electric motor,Bentley Motors,http://www.bentleymotors.com,SUV,PHEV,Plug-in Hybrid Electric,18,420,Blended,"",AWD,"","","","","",374,48.0,17.0,""
13286,57,355,27,Flying Spur Hybrid,2023,"","",46,17,22,19,SI,2.9L,6,"2.9L V6;
103 kW electric motor",Bentley Motors,http://www.bentleymotors.com,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,21,430,Blended,"",AWD,"","","","","",374,48.0,17.0,""
