Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11283,Enviro500EV,Alexander Dennis,"",82,[10623],Electric,Transit Bus,Automatic
11209,E-ACTT,Autocar,Vorza,"",[10562],Electric,Tractor,Automatic
11210,LOW ENTRY TILT 2,Battle Motors,"","","[10563, 10606]",Electric,Vocational/Cab Chassis,Automatic
11211,LOW NARROW TILT ,Battle Motors,"","","[10563, 10606]",Electric,Vocational/Cab Chassis,Automatic
10942,All American RE Electric,Blue Bird,"",84,[10525],Electric,School Bus,Automatic
11103,All American RE Electric Activity,Blue Bird,"",84,[10525],Electric,Passenger Van/Shuttle Bus,Automatic
11102,Micro Bird Activity G5 Electric,Blue Bird,"",30,[],Electric,Passenger Van/Shuttle Bus,""
11018,Micro Bird G5 Electric,Blue Bird,"",30,[],Electric,School Bus,""
11017,Vision Electric,Blue Bird,"",77,[10525],Electric,School Bus,Automatic
11104,Vision Electric Activity,Blue Bird,"",77,[10525],Electric,Passenger Van/Shuttle Bus,Automatic
11065,6R,BYD,BYD,"",[],Electric,Refuse,""
10883,8R/ER,BYD,BYD,"",[],Electric,Refuse,""
11080,8TT/ER Tandem Axle,BYD,BYD,"",[],Electric,Tractor,Automatic
10779,8Y Terminal Tractor,BYD,BYD,"",[],Electric,Tractor,""
10785,C10M (45'),BYD,BYD,57,[10409],Electric,Passenger Van/Shuttle Bus,""
11108,C10MS (45' double decker),BYD,BYD,77,[10409],Electric,Transit Bus,""
10783,C6M (23'),BYD,BYD,18,[10554],Electric,Passenger Van/Shuttle Bus,""
11106,C8M (35'),BYD,BYD,41,[10409],Electric,Passenger Van/Shuttle Bus,""
11107,C8MS (35' double decker),BYD,BYD,51,[10409],Electric,Transit Bus,""
10784,C9M (40'),BYD,BYD,49,[10409],Electric,Passenger Van/Shuttle Bus,""
10776,Class 6F Cab & Chassis,BYD,BYD,"",[],Electric,Vocational/Cab Chassis,""
11105,K11M (60'),BYD,BYD,55,[10609],Electric,Transit Bus,""
10781,K7M (30'),BYD,BYD,22,[10607],Electric,Transit Bus,""
11213,K7M ER (30'),BYD,BYD,22,[10608],Electric,Transit Bus,""
10782,K8M (35'),BYD,BYD,32,[10610],Electric,Transit Bus,""
10767,K9M (40'),BYD,BYD,37,[10610],Electric,Transit Bus,""
11214,K9MD (40'),BYD,BYD,42,[10610],Electric,Transit Bus,""
11250,Type A (26'),BYD,"",30,[10592],Electric,School Bus,Automatic
11239,Type D (36'),BYD,"",84,[10410],Electric,School Bus,Automatic
11178,e.COBUS 2700,COBUS Industries,"",96,[10062],Electric,Transit Bus,""
