Distributor_ID,Latitude,Longitude,Connected_Lines
D1,-52.743057,-38.917859,L51
D2,87.277469,59.472257,"L55,L83,L65"
D3,-12.458920,-0.460482,"L16,L74,L54,L50"
D4,16.480088,-157.915082,"L96,L27,L52,L100"
D5,14.7097025,90.073064,"L43,L3"
D6,3.625958,128.204299,"L5,L100"
D7,39.243081,104.787737,"L29,L11,L67"
D8,88.802117,-72.578548,"L49,L74"
D9,-56.893172,62.541906,"L25,L28"
D10,-64.1421865,85.529321,"L95,L49,L88"
D11,27.9753415,14.643605,L21
D12,-81.0596545,151.631142,"L38,L21,L13"
D13,-62.1755905,64.257621,"L70,L43,L84"
D14,-44.5686475,143.974558,"L40,L93"
D15,87.325767,-17.606227,"L89,L28,L57"
D16,-60.8561305,37.672107,"L74,L92,L26,L64"
D17,55.1833465,-47.168687,"L39,L62"
D18,-29.427279,-125.857205,L97
D19,-84.990978,128.163468,"L39,L95"
D20,21.1692945,-136.051447,"L17,L57,L15"
D21,70.759068,-46.172895,"L80,L53,L4,L37"
D22,18.725579,-165.247921,L22
D23,-77.849299,106.328131,"L26,L55"
D24,13.212254,-35.914428,"L16,L31,L77,L59"
D25,17.946173,142.618877,"L49,L15"
D26,-12.0262075,-67.390551,L51
D27,29.4171925,172.404810,"L83,L23,L36,L25"
D28,-73.6796265,81.637899,L70
D29,-58.7867465,-61.128803,"L80,L42"
D30,-69.005692,116.143637,L66
D31,-33.7189165,-103.472167,"L30,L45,L12,L62"
D32,45.356273,-42.307724,"L50,L84,L4"
D33,-34.5376005,60.308458,L52
D34,-10.065405,-66.599612,"L98,L100"
D35,-39.1512095,-10.562282,"L95,L18,L44,L35"
D36,63.231432,-148.787888,"L4,L29"
D37,38.4909855,124.207968,L29
D38,-40.8730545,76.866537,"L73,L5,L40"
D39,-24.5678245,147.109583,"L63,L34,L81"
D40,8.268810,70.603645,"L68,L20,L88,L8"
D41,-52.082986,141.546222,"L81,L90"
D42,-5.6443185,-125.648419,"L27,L40,L37,L10"
D43,51.866557,81.777816,"L89,L81"
D44,15.4737915,-84.335584,L80
D45,-80.5629515,-122.864521,"L94,L92"
D46,87.7705635,34.324326,"L18,L63"
D47,37.515168,-95.880006,"L40,L61,L28,L88"
D48,-79.2027225,-66.092277,"L49,L4,L1"
D49,31.056935,-77.743524,"L16,L37"
D50,86.3180975,-113.914600,L36
