Power_Line_ID,Source_ID,Destination_ID,Max_Capacity_kWh,Current_Load_kWh
L1,S6,D43,197.17168561806983,127.1826171321633
L2,S2,D23,194.9908839065099,126.66143842317993
L3,S7,D15,185.22263504070628,112.03904148671961
L4,S2,D50,147.08319923948142,109.41745945769722
L5,S7,D29,189.34890727873812,127.00920516397548
L6,S9,D44,115.94766079976378,73.23607904793607
L7,S10,D20,100.00380552579057,58.63816201000212
L8,S7,D33,141.0695163552557,92.62746888322641
L9,S5,D22,129.83469937330253,89.85419066496469
L10,S8,D12,185.09122243314732,124.48914640969178
L11,S2,D44,194.18977935143104,134.30049905903624
L12,S9,D8,174.66683949334498,120.86254301564031
L13,S8,D27,156.56638572517332,100.40780936694128
L14,S5,D5,186.48822730428958,119.2058110924968
L15,S9,D21,158.85824065552288,122.71107718319554
L16,S5,D38,140.1917119203206,79.70351682796087
L17,S10,D48,154.83719156437587,99.74215599165842
L18,S5,D4,172.41851703250853,122.49508762719167
L19,S3,D33,181.36436321287835,114.72046046934494
L20,S1,D15,153.33589067091015,106.87727225398821
L21,S6,D48,128.20132101717306,92.23604067987608
L22,S1,D50,155.5139321592052,97.79705842942921
L23,S10,D40,139.11094148660206,92.76435755132452
L24,S3,D18,124.25409280506767,92.96803935915159
L25,S2,D4,169.02227865950198,128.6364255182754
L26,S10,D9,102.8864128049791,66.49944975349793
L27,S7,D43,136.2944736368326,91.57664110285495
L28,S3,D2,111.69936458368447,76.53324689106731
L29,S2,D38,100.873126644437,58.9238605937749
L30,S2,D41,154.4641247568135,108.0050835731398
L31,S6,D14,144.78935777936516,109.25400153318208
L32,S8,D11,198.20824843653836,140.9409542924554
L33,S4,D50,170.82919055296617,116.92163463571751
L34,S7,D8,179.46849590150987,119.6809200378134
L35,S5,D17,118.31008183569173,70.20619109962767
L36,S9,D42,147.5882188957297,81.631812771064
L37,S3,D35,139.80894386001575,90.92940690913116
L38,S9,D9,198.1872803883251,141.89991945129367
L39,S9,D20,112.06185719825041,82.04897632573302
L40,S9,D27,197.4947336514524,142.20263154090614
L41,S1,D27,149.41452230957128,105.3346293962171
L42,S3,D14,124.53575840158126,91.58086332782368
L43,S6,D11,133.00162923880066,75.45549344193117
L44,S7,D31,192.01761629338682,126.04621203249742
L45,S9,D42,128.49649855763707,91.08521449007264
L46,S3,D44,158.06239396077422,120.09387165689881
L47,S2,D42,175.68710921046306,138.54877528183326
L48,S6,D44,186.63749751547357,141.29064807136643
L49,S2,D32,121.21370470398692,92.48928328542375
L50,S6,D23,136.6027520482759,77.76202440533501
L51,S4,D18,176.80234364388124,112.93489806116105
L52,S6,D24,190.1034952387305,135.5173863898639
L53,S4,D4,164.00682862255735,118.18122919301076
L54,S1,D41,185.94046306410573,132.00218389462935
L55,S2,D24,140.57723336883757,102.47209199457326
L56,S7,D4,142.7292414481125,108.31265894547847
L57,S5,D45,177.89392801430012,113.66529137738426
L58,S2,D48,182.01915797830208,130.39545108219724
L59,S4,D45,116.72289669833124,73.2672485806103
L60,S5,D23,133.87299980762947,102.39298640871117
L61,S5,D17,180.62982974770085,127.22709576063208
L62,S9,D17,177.5566584457015,121.84545651257353
L63,S7,D39,119.07395464503703,78.74249029738712
L64,S3,D44,108.54223455019607,88.69319415718807
L65,S9,D39,172.15187603217083,123.72499218906172
L66,S8,D9,146.8413807466377,102.15427342788155
L67,S2,D37,187.45914231211458,128.1705110210328
L68,S7,D33,167.1940721819561,114.61273606311454
L69,S4,D10,146.16222806916397,112.06287854124851
L70,S8,D29,144.9662807376243,113.43303470322388
L71,S1,D26,160.42289507981417,114.94584315855295
L72,S8,D21,151.8816124138476,112.21033947670672
L73,S3,D41,130.1020079285004,89.37041374527904
L74,S10,D18,140.3327963617015,88.51828549401324
L75,S2,D8,149.0174351929445,110.92367256849253
L76,S5,D38,127.87601103151894,86.11671965144777
L77,S8,D29,180.43106713984747,129.59630155359378
L78,S10,D35,102.02128163026569,74.22686463897344
L79,S7,D50,105.24732202593225,62.12478226275163
L80,S10,D37,160.78781215566104,112.4065014748852
L81,S3,D2,194.1384588601249,128.42805280541614
L82,S7,D46,109.85413952534608,67.97942569614267
L83,S5,D19,180.94462912928995,134.16054364964066
L84,S7,D1,165.50019580071682,124.54520423614426
L85,S8,D34,195.77231938238938,141.26685229234928
L86,S1,D5,144.66065815438486,103.90035905500477
L87,S6,D41,195.41241865323786,121.93443093578497
L88,S7,D22,152.8815582424002,107.9653123391019
L89,S8,D48,181.95563415312233,133.0214585624036
L90,S3,D27,107.43096739017223,67.31568521520494
L91,S7,D28,146.55162502456648,92.17645159575936
L92,S3,D37,195.80833430949593,151.68827124140867
L93,S7,D36,119.8926204086563,96.63935885661694
L94,S5,D50,105.71374502195013,70.34034100201849
L95,S2,D47,160.2049150337668,101.44318864176597
L96,S2,D26,189.3479799648632,127.91439928120259
L97,S3,D8,124.07036985668122,84.94079674003657
L98,S6,D26,133.30481019998115,107.4035223809411
L99,S4,D44,191.8063252236374,146.5692793903426
L100,S5,D22,156.88610426464433,118.1892659744649
