Supplier_ID,Latitude,Longitude,Max_Generation_Rate_kWh,Current_Generation_Rate_kWh
S1,35.335476,-70.212417,553.5154374014861,396.2847056525882
S2,-58.846230,-36.614368,591.2987640621824,413.83713343832693
S3,-70.5812375,-58.887130,829.5537477531079,648.5988376302847
S4,28.607524,158.094741,684.3227866999132,556.4015117078964
S5,69.1010605,-135.885641,812.9179096530368,523.2880167480857
S6,-12.558777,-18.070071,974.2254198424347,720.1203304135212
S7,76.996335,-28.045983,915.1916099632422,711.3989451784756
S8,-44.583849,75.978367,778.4974878574171,575.5508274641143
S9,-81.9658855,55.454056,684.5319800395116,562.6770751006998
S10,-34.2098035,-162.783966,971.9564186330874,613.955960421835
